C.D.S.  -  SIMBAD4 rel 1.8  -  2023.05.23CEST05:24:19

Vmag< 11&dec< 0&rah >=10.25&rah< 10.5
-------------------------------------

Number of objects : 6864

 #  |                              identifier                              |              typ              |       coord1 (ICRS,J2000/2000)        |      coord4 (Gal,J2000/2000)      |        pm        |  Mag V  |  spec. type   |   ang. size   
----|----------------------------------------------------------------------|-------------------------------|---------------------------------------|-----------------------------------|------------------|---------|---------------|---------------
3764|HD 299064                                                             |Star                           |10 19 08.2918417608 -54 12 03.191791824|281.7691182752551 +02.2911935878490|   -7.070 4.077   |10.26    |B9             |    ~     ~    
3765|CD-53 3463                                                            |Star                           |10 19 11.2881265032 -54 11 18.065046192|281.7683368508675 +02.3056804177703|   -6.049 2.119   |10.00    |~              |    ~     ~    
3766|HD 298995                                                             |Star                           |10 17 46.6777077024 -53 39 48.421138248|281.3053145731313 +02.6291310861600|  -15.168 7.897   |10.29    |A3             |    ~     ~    
3767|HD 298996                                                             |Star                           |10 15 27.2805524808 -53 34 25.799724048|280.9689457227630 +02.5116284844568|  -10.025 4.429   |10.40    |B9             |    ~     ~    
3768|HD 298997                                                             |Star                           |10 16 07.6108900368 -53 47 44.499292764|281.1757555211727 +02.3834328776893|   -6.812 3.768   |10.85    |B9             |    ~     ~    
3769|HD 298998                                                             |Star                           |10 15 46.5776 -53 48 18.955            |281.1381571 +02.3465629            |   -11.00 10.70   |10.82    |A2             |    ~     ~    
3770|HD 298999                                                             |Star                           |10 16 02.0258758128 -53 54 16.194755448|281.2251897698429 +02.2855189935533|  -16.689 8.727   |9.41     |G0             |    ~     ~    
3771|HD 299000                                                             |Star                           |10 16 04.9120985232 -53 55 27.136677540|281.2420868768298 +02.2731318610973| -13.954 -8.362   |10.33    |F2             |    ~     ~    
3772|HD 299001                                                             |Star                           |10 17 16.5932879232 -53 54 33.232992948|281.3799800560336 +02.3835124060483|   -9.044 5.256   |10.23    |B9             |    ~     ~    
3773|HD 299002                                                             |Star                           |10 17 44.8794067176 -53 52 01.742811708|281.4144997395416 +02.4570393251006|   -7.097 3.556   |10.00    |B9             |    ~     ~    
3774|HD 299004                                                             |Star                           |10 17 21.5222499120 -54 14 18.856190112|281.5728799205563 +02.1161980830396|    1.745 5.832   |10.10    |A5             |    ~     ~    
3775|HD 299005                                                             |Star                           |10 17 06.8568745776 -54 16 20.873798112|281.5619905119790 +02.0681919646865|   -6.544 3.964   |10.86    |A              |    ~     ~    
3776|HD 299007                                                             |Star                           |10 16 02.4506852256 -54 22 34.390950600|281.4897531515738 +01.8948509364056|   -9.482 4.315   |10.75    |A3             |    ~     ~    
3777|HD 299012                                                             |Double or Multiple Star        |10 15 33.8081857008 -54 29 47.719434012|281.4995363920178 +01.7562472926158|   -4.961 1.025   |10.284   |A2             |    ~     ~    
3778|HD 299015                                                             |Star                           |10 17 37.0601221128 -54 31 40.470976560|281.7647362318826 +01.8962573178798|  -11.332 5.009   |10.57    |A0             |    ~     ~    
3779|HD 299016                                                             |Star                           |10 16 50.6973264936 -54 33 43.875246996|281.6905032001612 +01.8055562366727|  -13.073 2.363   |10.62    |A              |    ~     ~    
3780|HD 299018                                                             |Star                           |10 16 51.8340274344 -54 40 00.510819168|281.7509874532340 +01.7201267807533| -12.852 10.258   |10.11    |A2             |    ~     ~    
3781|HD 299020                                                             |Star                           |10 15 52.1624649768 -54 37 04.430394192|281.6042121942042 +01.6805153890320|    7.947 9.577   |10.17    |K5             |    ~     ~    
3782|HD 299060                                                             |Star                           |10 18 57.4757192232 -53 53 30.416200692|281.5769550214110 +02.5348827820911|  -10.448 7.512   |10.35    |A2             |    ~     ~    
3783|HD 299061                                                             |Star                           |10 20 33.5945175264 -54 01 34.107904128|281.8479654729389 +02.5514580711597|   -7.031 4.229   |10.49    |A2             |    ~     ~    
3784|HD 299065                                                             |Star                           |10 18 40.1812848408 -54 14 16.926497592|281.7323266842801 +02.2225036444366|   -5.868 3.312   |10.30    |A0             |    ~     ~    
3785|HD 299066                                                             |Star                           |10 19 20.4561823512 -54 17 06.334305864|281.8401558442660 +02.2370693466902| -30.413 16.907   |10.59    |F8             |    ~     ~    
3786|HD 299067                                                             |Star                           |10 19 33.6406527360 -54 21 52.463954160|281.9105800396301 +02.1881676103509|   -6.604 2.850   |10.91    |B8             |    ~     ~    
3787|HD 300542                                                             |Star                           |10 15 30.2935552128 -54 54 33.814912392|281.7237871307559 +01.4095065839731|   -5.541 3.622   |10.61    |A2             |    ~     ~    
3788|HD 300543                                                             |Spectroscopic Binary           |10 15 22.4742420072 -55 00 37.056533076|281.7648324534950 +01.3154478130024|  -11.214 5.663   |10.40    |A0             |    ~     ~    
3789|HD 300594                                                             |Star                           |10 15 47.3919963144 -55 03 01.982328444|281.8366955159563 +01.3154009315790|  -10.341 5.682   |10.43    |A0             |    ~     ~    
